@relation 'mydata-weka.filters.unsupervised.attribute.Discretize-F-B3-M-1.0-R28-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.attribute.Remove-R1-2,7,10-11,14,16-17-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R10-11'

@attribute num_critic_for_reviews numeric
@attribute duration numeric
@attribute director_facebook_likes numeric
@attribute actor_3_facebook_likes numeric
@attribute actor_1_facebook_likes numeric
@attribute num_voted_users numeric
@attribute cast_total_facebook_likes numeric
@attribute facenumber_in_poster numeric
@attribute num_user_for_reviews numeric
@attribute title_year numeric
@attribute actor_2_facebook_likes numeric
@attribute imdb_score numeric
@attribute aspect_ratio numeric
@attribute movie_facebook_likes numeric
@attribute budget {'\'(-inf-20500000]\'','\'(20500000-49950000]\'','\'(49950000-inf)\''}

@data
723,178,0,855,1000,886204,4834,0,3054,2009,936,7.9,1.78,33000,'\'(49950000-inf)\''
302,169,563,1000,40000,471220,48350,0,1238,2007,5000,7.1,2.35,0,'\'(49950000-inf)\''
602,148,0,161,11000,275868,11700,1,994,2015,393,6.8,2.35,85000,'\'(49950000-inf)\''
813,164,22000,23000,27000,1144337,106759,0,2701,2012,23000,8.5,2.35,164000,'\'(49950000-inf)\''
462,132,475,530,640,212204,1873,1,738,2012,632,6.6,2.35,24000,'\'(49950000-inf)\''
392,156,0,4000,24000,383056,46055,0,1902,2007,11000,6.2,2.35,0,'\'(49950000-inf)\''
324,100,15,284,799,294810,2036,1,387,2010,553,7.8,1.85,29000,'\'(49950000-inf)\''
635,141,0,19000,26000,462669,92000,4,1117,2015,21000,7.5,2.35,118000,'\'(49950000-inf)\''
375,153,282,10000,25000,321795,58753,3,973,2009,11000,7.5,2.35,10000,'\'(49950000-inf)\''
673,183,0,2000,15000,371639,24450,0,3018,2016,4000,6.9,2.35,197000,'\'(49950000-inf)\''
434,169,0,903,18000,240396,29991,0,2367,2006,10000,6.1,2.35,0,'\'(49950000-inf)\''
403,106,395,393,451,330784,2023,1,1243,2008,412,6.7,2.35,0,'\'(49950000-inf)\''
313,151,563,1000,40000,522040,48486,2,1832,2006,5000,7.3,2.35,5000,'\'(49950000-inf)\''
450,150,563,1000,40000,181792,45757,1,711,2013,2000,6.5,2.35,48000,'\'(49950000-inf)\''
733,143,0,748,15000,548573,20495,0,2536,2013,3000,7.2,2.35,118000,'\'(49950000-inf)\''
