@relation 'mydata-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R28-weka.filters.unsupervised.attribute.Remove-R1-2,7,10-11,14-17-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R9'

@attribute num_critic_for_reviews numeric
@attribute duration numeric
@attribute director_facebook_likes numeric
@attribute actor_3_facebook_likes numeric
@attribute actor_1_facebook_likes numeric
@attribute num_voted_users numeric
@attribute cast_total_facebook_likes numeric
@attribute num_user_for_reviews numeric
@attribute budget numeric
@attribute title_year numeric
@attribute actor_2_facebook_likes numeric
@attribute imdb_score numeric
@attribute aspect_ratio numeric
@attribute movie_facebook_likes numeric
@attribute gross {'\'(-inf-141489591.767]\'','\'(141489591.767-380253004.5]\'','\'(380253004.5-inf)\''}

@data
723,178,0,855,1000,886204,4834,3054,237000000,2009,936,7.9,1.78,33000,'\'(380253004.5-inf)\''
302,169,563,1000,40000,471220,48350,1238,300000000,2007,5000,7.1,2.35,0,'\'(141489591.767-380253004.5]\''
602,148,0,161,11000,275868,11700,994,245000000,2015,393,6.8,2.35,85000,'\'(-inf-141489591.767]\''
813,164,22000,23000,27000,1144337,106759,2701,250000000,2012,23000,8.5,2.35,164000,'\'(141489591.767-380253004.5]\''
462,132,475,530,640,212204,1873,738,263700000,2012,632,6.6,2.35,24000,'\'(-inf-141489591.767]\''
392,156,0,4000,24000,383056,46055,1902,258000000,2007,11000,6.2,2.35,0,'\'(141489591.767-380253004.5]\''
324,100,15,284,799,294810,2036,387,260000000,2010,553,7.8,1.85,29000,'\'(-inf-141489591.767]\''
635,141,0,19000,26000,462669,92000,1117,250000000,2015,21000,7.5,2.35,118000,'\'(141489591.767-380253004.5]\''
375,153,282,10000,25000,321795,58753,973,250000000,2009,11000,7.5,2.35,10000,'\'(141489591.767-380253004.5]\''
673,183,0,2000,15000,371639,24450,3018,250000000,2016,4000,6.9,2.35,197000,'\'(141489591.767-380253004.5]\''
434,169,0,903,18000,240396,29991,2367,209000000,2006,10000,6.1,2.35,0,'\'(-inf-141489591.767]\''
403,106,395,393,451,330784,2023,1243,200000000,2008,412,6.7,2.35,0,'\'(-inf-141489591.767]\''
313,151,563,1000,40000,522040,48486,1832,225000000,2006,5000,7.3,2.35,5000,'\'(141489591.767-380253004.5]\''
450,150,563,1000,40000,181792,45757,711,215000000,2013,2000,6.5,2.35,48000,'\'(-inf-141489591.767]\''
733,143,0,748,15000,548573,20495,2536,225000000,2013,3000,7.2,2.35,118000,'\'(141489591.767-380253004.5]\''
258,150,80,201,22000,149922,22697,438,225000000,2008,216,6.6,2.35,0,'\'(-inf-141489591.767]\''
703,173,0,19000,26000,995415,87697,1722,220000000,2012,21000,8.1,1.85,123000,'\'(380253004.5-inf)\''
448,136,252,1000,40000,370704,54083,484,250000000,2011,11000,6.7,2.35,58000,'\'(-inf-141489591.767]\''
451,106,188,718,10000,268154,12572,341,225000000,2012,816,6.8,1.85,40000,'\'(-inf-141489591.767]\''
422,164,0,773,5000,354228,9152,802,250000000,2014,972,7.5,2.35,65000,'\'(141489591.767-380253004.5]\''
599,153,464,963,15000,451803,28489,1225,230000000,2012,10000,7,2.35,56000,'\'(141489591.767-380253004.5]\''
343,156,0,738,891,211765,3244,546,200000000,2010,882,6.7,2.35,17000,'\'(-inf-141489591.767]\''
509,186,0,773,5000,483540,9152,951,225000000,2013,972,7.9,2.35,83000,'\'(141489591.767-380253004.5]\''
251,113,129,1000,16000,149019,24106,666,180000000,2007,6000,6.1,2.35,0,'\'(-inf-141489591.767]\''
446,201,0,84,6000,316018,7123,2618,207000000,2005,919,7.2,2.35,0,'\'(-inf-141489591.767]\''
315,194,0,794,29000,793059,45223,2528,200000000,1997,14000,7.7,2.35,26000,'\'(380253004.5-inf)\''
516,147,94,11000,21000,272670,64798,1022,250000000,2016,19000,8.2,2.35,72000,'\'(141489591.767-380253004.5]\''
377,131,532,627,14000,202382,26679,751,209000000,2012,10000,5.9,2.35,44000,'\'(-inf-141489591.767]\''
644,124,365,1000,3000,418214,8458,1290,150000000,2015,2000,7,2,150000,'\'(380253004.5-inf)\''
750,143,0,393,883,522030,2039,1498,200000000,2012,563,7.8,2.35,80000,'\'(141489591.767-380253004.5]\''
300,135,0,4000,24000,411164,43388,1303,200000000,2004,11000,7.3,2.35,0,'\'(141489591.767-380253004.5]\''
608,195,1000,3000,21000,557489,30426,1187,200000000,2013,4000,7.2,2.35,95000,'\'(141489591.767-380253004.5]\''
451,108,13000,11000,40000,306320,79957,736,200000000,2010,25000,6.5,1.85,24000,'\'(141489591.767-380253004.5]\''
334,104,420,560,20000,383427,21714,1912,210000000,2006,808,6.8,2.35,0,'\'(-inf-141489591.767]\''
376,104,37,760,12000,235025,14863,265,200000000,2013,779,7.3,1.85,44000,'\'(141489591.767-380253004.5]\''
366,150,0,464,894,323207,3218,1439,200000000,2009,581,6,2.35,0,'\'(141489591.767-380253004.5]\''
378,165,0,808,974,242420,3988,918,210000000,2014,956,5.7,2.35,56000,'\'(-inf-141489591.767]\''
525,130,0,11000,44000,175409,73441,511,215000000,2013,15000,6.4,2.35,60000,'\'(-inf-141489591.767]\''
