fn,tid,title,wordsInTitle,url,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,imdbRating
titles01/tt0012349,tt0012349,Der Vagabund und das Kind (1921),der vagabund und das kind,http://www.imdb.com/title/tt0012349/,40550,3240,1921,video.movie,1,0,19,96,85,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4
titles01/tt0015864,tt0015864,Goldrausch (1925),goldrausch,http://www.imdb.com/title/tt0015864/,45319,5700,1925,video.movie,2,1,35,110,122,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3
titles01/tt0017136,tt0017136,Metropolis (1927),metropolis,http://www.imdb.com/title/tt0017136/,81007,9180,1927,video.movie,3,4,67,428,376,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.4
titles01/tt0017925,tt0017925,Der General (1926),der general,http://www.imdb.com/title/tt0017925/,37521,6420,1926,video.movie,1,1,53,123,219,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3
titles01/tt0021749,tt0021749,Lichter der Großstadt (1931),lichter der gro stadt,http://www.imdb.com/title/tt0021749/,70057,5220,1931,video.movie,2,0,38,187,186,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.7
titles01/tt0022100,tt0022100,M (1931),m,http://www.imdb.com/title/tt0022100/,73726,7020,1931,video.movie,1,0,28,4,254,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.5
titles01/tt0025316,tt0025316,Es geschah in einer Nacht (1934),es geschah in einer nacht,http://www.imdb.com/title/tt0025316/,46503,6300,1934,video.movie,4,1,40,183,211,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.3
titles01/tt0027977,tt0027977,Moderne Zeiten (1936),moderne zeiten,http://www.imdb.com/title/tt0027977/,90847,5220,1936,video.movie,3,1,44,27,180,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6
titles01/tt0031381,tt0031381,Vom Winde verweht (1939),vom winde verweht,http://www.imdb.com/title/tt0031381/,160414,14280,1939,video.movie,10,6,143,1263,653,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8.2
titles01/tt0031679,tt0031679,Mr. Smith geht nach Washington (1939),mr smith geht nach washington,http://www.imdb.com/title/tt0031679/,58169,7740,1939,video.movie,4,10,34,110,226,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4
titles01/tt0032138,tt0032138,Der Zauberer von Oz (1939),der zauberer von oz,http://www.imdb.com/title/tt0032138/,209506,6120,1939,video.movie,6,12,126,2363,477,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1
titles01/tt0032551,tt0032551,Früchte des Zorns (1940),fr chte des zorns,http://www.imdb.com/title/tt0032551/,45737,7740,1940,video.movie,6,5,20,135,257,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2
titles01/tt0032553,tt0032553,Der große Diktator (1940),der gro e diktator,http://www.imdb.com/title/tt0032553/,87969,7500,1940,video.movie,5,1,37,181,173,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.5
titles01/tt0032976,tt0032976,Rebecca (1940),rebecca,http://www.imdb.com/title/tt0032976/,65670,7800,1940,video.movie,2,9,47,328,241,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8.3
titles01/tt0033467,tt0033467,Citizen Kane (1941),citizen kane,http://www.imdb.com/title/tt0033467/,228617,7140,1941,video.movie,7,10,103,1439,1101,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.5
titles01/tt0033870,tt0033870,Die Spur des Falken (1941),die spur des falken,http://www.imdb.com/title/tt0033870/,86012,6000,1941,video.movie,1,0,67,332,294,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2
titles01/tt0034583,tt0034583,Casablanca (1942),casablanca,http://www.imdb.com/title/tt0034583/,296802,6120,1942,video.movie,5,6,153,382,960,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8.6
titles01/tt0036775,tt0036775,Frau ohne Gewissen (1944),frau ohne gewissen,http://www.imdb.com/title/tt0036775/,71266,6420,1944,video.movie,3,0,43,231,260,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
titles01/tt0036868,tt0036868,Die besten Jahre unseres Lebens (1946),die besten jahre unseres lebens,http://www.imdb.com/title/tt0036868/,30002,10320,1946,video.movie,13,1,15,129,218,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8.3
titles01/tt0038355,tt0038355,Tote schlafen fest (1946),tote schlafen fest,http://www.imdb.com/title/tt0038355/,50020,6840,1946,video.movie,1,0,52,171,215,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.1
titles01/tt0038650,tt0038650,It's a Wonderful Life (1946),it s a wonderful life,http://www.imdb.com/title/tt0038650/,197764,7800,1946,video.movie,6,0,65,531,626,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7
titles01/tt0038787,tt0038787,Berüchtigt (1946),ber chtigt,http://www.imdb.com/title/tt0038787/,56306,6060,1946,video.movie,2,1,56,102,260,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.2
