@relation 'mydata-weka.filters.unsupervised.attribute.Remove-R1-5-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R39-weka.filters.unsupervised.attribute.NumericToNominal-R11-38-weka.filters.unsupervised.attribute.Remove-R2,12,14-15,21-23,26-28,30,33-34'

@attribute ratingCount numeric
@attribute year numeric
@attribute type {'',game,video.episode,video.movie,video.tv}
@attribute nrOfWins numeric
@attribute nrOfNominations numeric
@attribute nrOfPhotos numeric
@attribute nrOfNewsArticles numeric
@attribute nrOfUserReviews numeric
@attribute nrOfGenre numeric
@attribute Action {0,1}
@attribute Adventure {0,1}
@attribute Comedy {0,1}
@attribute Crime {0,1}
@attribute Documentary {0,1}
@attribute Drama {0,1}
@attribute Family {0,1}
@attribute History {0,1}
@attribute Horror {0,1}
@attribute News {0,1}
@attribute Romance {0,1}
@attribute SciFi {0,1}
@attribute TalkShow {0,1}
@attribute Thriller {0,1}
@attribute War {0,1}
@attribute Western {0,1}
@attribute imdbRating {'\'(-inf-2.5]\'','\'(2.5-5.0]\'','\'(5.0-7.5]\'','\'(7.5-inf)\''}

@data
40550,1921,video.movie,1,0,19,96,85,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
45319,1925,video.movie,2,1,35,110,122,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
81007,1927,video.movie,3,4,67,428,376,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,'\'(7.5-inf)\''
37521,1926,video.movie,1,1,53,123,219,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
70057,1931,video.movie,2,0,38,187,186,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,'\'(7.5-inf)\''
73726,1931,video.movie,1,0,28,4,254,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,'\'(7.5-inf)\''
46503,1934,video.movie,4,1,40,183,211,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,'\'(7.5-inf)\''
90847,1936,video.movie,3,1,44,27,180,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
160414,1939,video.movie,10,6,143,1263,653,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,'\'(7.5-inf)\''
58169,1939,video.movie,4,10,34,110,226,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,'\'(7.5-inf)\''
